Symbol,MCAP,PE,DIV,Name,Sector,Industry
ABBV,last-price,current-price,change-percent,206.19,27.80,0.04,"AbbVie Inc","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
ACGLO,last-price,current-price,change-percent,15.10,5.22,0.05,"Arch Capital Group Ltd","FINANCE","FIRE, MARINE & CASUALTY INSURANCE"
ADM,last-price,current-price,change-percent,36.04,17.34,0.02,"Archer-Daniels-Midland Company","MANUFACTURING","FATS & OILS"
AEE,last-price,current-price,change-percent,21.52,21.77,0.03,"Ameren Corporation","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
AEM,last-price,current-price,change-percent,14.07,25.57,0.02,"Agnico Eagle Mines Limited","ENERGY & TRANSPORTATION","GOLD AND SILVER ORES"
AEP,last-price,current-price,change-percent,41.87,17.46,0.04,"American Electric Power Company Inc","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
AFL,last-price,current-price,change-percent,37.06,8.40,0.02,"Aflac Incorporated","FINANCE","ACCIDENT & HEALTH INSURANCE"
AGR,last-price,current-price,change-percent,19.69,24.28,0.04,"Avangrid Inc","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
ALL,last-price,current-price,change-percent,32.71,5.60,0.03,"The Allstate Corporation","FINANCE","FIRE, MARINE & CASUALTY INSURANCE"
AMCR,last-price,current-price,change-percent,18.95,20.36,0.04,"Amcor plc","MANUFACTURING","MISCELLANEOUS MANUFACTURING INDUSTRIES"
AMGN,last-price,current-price,change-percent,119.40,21.85,0.03,"Amgen Inc","LIFE SCIENCES","BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
AMOV,last-price,current-price,change-percent,59.12,12.21,0.02,"America Movil S.A.B.DE C.V.","TECHNOLOGY","TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)"
AMX,last-price,current-price,change-percent,59.53,12.29,0.02,"America Movil S.A.B.DE C.V.","TECHNOLOGY","TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)"
APO,last-price,current-price,change-percent,32.43,9.00,0.03,"Apollo Global Management Inc","FINANCE","INVESTMENT ADVICE"
ARE,last-price,current-price,change-percent,31.53,40.04,0.02,"Alexandria Real Estate Equities Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
ARES,last-price,current-price,change-percent,14.72,45.83,0.02,"Ares Management Corporation","FINANCE","INVESTMENT ADVICE"
ATO,last-price,current-price,change-percent,12.39,17.78,0.03,"Atmos Energy Corporation","ENERGY & TRANSPORTATION","NATURAL GAS DISTRIBUTION"
AVB,last-price,current-price,change-percent,33.53,54.08,0.03,"AvalonBay Communities Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
AVGO,last-price,current-price,change-percent,225.88,40.67,0.03,"Broadcom Inc","MANUFACTURING","SEMICONDUCTORS & RELATED DEVICES"
AZN,last-price,current-price,change-percent,196.42,43.83,0.04,"AstraZeneca PLC","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
BAP,last-price,current-price,change-percent,10.15,29.27,0.04,"Credicorp Ltd","FINANCE","COMMERCIAL BANKS, NEC"
BBL,last-price,current-price,change-percent,134.66,9.79,0.06,"BHP Group","TECHNOLOGY","GENERAL"
BBY,last-price,current-price,change-percent,32.66,13.59,0.02,"Best Buy Co. Inc","TRADE & SERVICES","RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES"
BCE,last-price,current-price,change-percent,46.65,20.48,0.07,"BCE Inc","TECHNOLOGY","TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)"
BEN,last-price,current-price,change-percent,17.80,9.94,0.03,"Franklin Resources Inc","FINANCE","INVESTMENT ADVICE"
BG,last-price,current-price,change-percent,13.23,5.93,0.02,"Bunge Limited","MANUFACTURING","FATS & OILS"
BHP,last-price,current-price,change-percent,134.23,10.44,0.06,"BHP Group","ENERGY & TRANSPORTATION","METAL MINING"
BIP,last-price,current-price,change-percent,17.47,23.13,0.03,"Brookfield Infrastructure Partners L.P","ENERGY & TRANSPORTATION","WATER TRANSPORTATION"
BK,last-price,current-price,change-percent,49.54,15.28,0.02,"The Bank of New York Mellon Corporation","FINANCE","STATE COMMERCIAL BANKS"
BMO,last-price,current-price,change-percent,72.49,13.99,0.04,"Bank of Montreal","FINANCE","COMMERCIAL BANKS, NEC"
BMY,last-price,current-price,change-percent,131.82,68.90,0.03,"Bristol-Myers Squibb Company","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
BNS,last-price,current-price,change-percent,80.81,11.52,0.05,"The Bank of Nova Scotia","FINANCE","STATE COMMERCIAL BANKS"
BSBR,last-price,current-price,change-percent,47.12,8.28,0.26,"Banco Santander (Brasil) S.A","FINANCE","COMMERCIAL BANKS, NEC"
BTI,last-price,current-price,change-percent,79.21,7.83,0.06,"British American Tobacco p.l.c","MANUFACTURING","CIGARETTES"
BX,last-price,current-price,change-percent,100.99,19.39,0.03,"The Blackstone Group Inc","FINANCE","INVESTMENT ADVICE"
BXP,last-price,current-price,change-percent,18.50,75.26,0.03,"Boston Properties Inc","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
CAG,last-price,current-price,change-percent,15.61,10.87,0.04,"Conagra Brands Inc","MANUFACTURING","FOOD AND KINDRED PRODUCTS"
CAH,last-price,current-price,change-percent,14.00,9.82,0.03,"Cardinal Health Inc","TRADE & SERVICES","WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
CAJ,last-price,current-price,change-percent,30.33,32.30,0.05,"Canon Inc","LIFE SCIENCES","PHOTOGRAPHIC EQUIPMENT & SUPPLIES"
CAT,last-price,current-price,change-percent,113.50,36.24,0.02,"Caterpillar Inc","TECHNOLOGY","CONSTRUCTION MACHINERY & EQUIP"
CCEP,last-price,current-price,change-percent,26.07,36.72,0.02,"Coca-Cola Europacific Partners plc Ordinary Shares","MANUFACTURING","BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS"
CCZ,last-price,current-price,change-percent,59.56,53.65,0.03,"Comcast Holdings Corp","TECHNOLOGY","CABLE & OTHER PAY TELEVISION SERVICES"
CFG,last-price,current-price,change-percent,20.39,11.58,0.03,"Citizens Financial Group Inc","FINANCE","STATE COMMERCIAL BANKS"
CHRW,last-price,current-price,change-percent,12.08,16.47,0.02,"C.H. Robinson Worldwide Inc","ENERGY & TRANSPORTATION","ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO"
CHT,last-price,current-price,change-percent,31.37,24.55,0.11,"Chunghwa Telecom Co. Ltd","TECHNOLOGY","RADIOTELEPHONE COMMUNICATIONS"
CINF,last-price,current-price,change-percent,19.78,7.91,0.02,"Cincinnati Financial Corporation","FINANCE","FIRE, MARINE & CASUALTY INSURANCE"
CL,last-price,current-price,change-percent,65.78,24.76,0.02,"Colgate-Palmolive Company","LIFE SCIENCES","PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
CLX,last-price,current-price,change-percent,20.17,47.36,0.03,"The Clorox Company","LIFE SCIENCES","SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS"
CM,last-price,current-price,change-percent,53.13,16.05,0.05,"Canadian Imperial Bank of Commerce","FINANCE","COMMERCIAL BANKS, NEC"
CMA,last-price,current-price,change-percent,11.66,11.07,0.03,"Comerica Incorporated","FINANCE","NATIONAL COMMERCIAL BANKS"
CMI,last-price,current-price,change-percent,34.00,19.54,0.02,"Cummins Inc","TECHNOLOGY","ENGINES & TURBINES"
CMS,last-price,current-price,change-percent,17.40,23.89,0.03,"CMS Energy Corporation","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
CNA,last-price,current-price,change-percent,12.46,18.13,0.03,"CNA Financial Corporation","FINANCE","FIRE, MARINE & CASUALTY INSURANCE"
CNP,last-price,current-price,change-percent,16.68,17.73,0.02,"CenterPoint Energy Inc","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
CNQ,last-price,current-price,change-percent,51.23,10.94,0.04,"Canadian Natural Resources Limited","ENERGY & TRANSPORTATION","CRUDE PETROLEUM & NATURAL GAS"
COP,last-price,current-price,change-percent,96.59,19.86,0.02,"ConocoPhillips","ENERGY & TRANSPORTATION","PETROLEUM REFINING"
CPB,last-price,current-price,change-percent,12.47,12.50,0.04,"Campbell Soup Company","MANUFACTURING","FOOD AND KINDRED PRODUCTS"
CQP,last-price,current-price,change-percent,20.84,18.70,0.06,"Cheniere Energy Partners L.P","ENERGY & TRANSPORTATION","NATURAL GAS DISTRIBUTION"
CRH,last-price,current-price,change-percent,39.41,26.40,0.02,"CRH plc","MANUFACTURING","CEMENT, HYDRAULIC"
CSCO,last-price,current-price,change-percent,239.73,22.74,0.03,"Cisco Systems Inc","TECHNOLOGY","COMPUTER COMMUNICATIONS EQUIPMENT"
CTRA,last-price,current-price,change-percent,16.94,23.69,0.02,"COTERRA ENERGY INC","ENERGY & TRANSPORTATION","CRUDE PETROLEUM & NATURAL GAS"
CVS,last-price,current-price,change-percent,122.45,14.69,0.02,"CVS Health Corporation","TRADE & SERVICES","RETAIL-DRUG STORES AND PROPRIETARY STORES"
CVX,last-price,current-price,change-percent,223.61,22.50,0.05,"Chevron Corporation","ENERGY & TRANSPORTATION","PETROLEUM REFINING"
D,last-price,current-price,change-percent,60.80,23.67,0.03,"Dominion Energy Inc","ENERGY & TRANSPORTATION","ELECTRIC SERVICES"
